ilmenite70
473	0.797143
673	0.854286
773	0.845714
873	0.834286
973	0.828571
1023	0.802857
1073	0.768571
1123	0.705714
1173	0.614286
1198	0.545714
1223	0.454286
1248	0.314286
1273	0
1298	0
1323	0
1373	0


ilmenite80
293	0.9775
473	0.9825
673	0.99
773	0.97
873	0.955
973	0.9375
1073	0.9125
1173	0.8725
1273	0.7575
1373	0.57
1423	0.2675
1448	0
1473	0
1498	0
1523	0
1548	0
1573	0
1598	0


ilmenite90
293	0.982222
473	0.984444
673	0.991111
773	0.984444
873	0.984444
973	0.971111
1073	0.957778
1173	0.94
1273	0.913333
1373	0.868889
1423	0.831111
1473	0.771111
1498	0.731111
1523	0.68
1548	0.537778
1573	0.322222
1598	3.31137e-08
1623	3.31137e-08


ilmenite100
293	0.974
473	0.982
673	0.984
773	0.982
873	0.976
973	0.976
1073	0.976
1173	0.972
1273	0.964
1373	0.95
1473	0.9
1523	0.86
1573	0.794
1598	0.732
